"beta","gamma","rho","psi","pop","S_0","E_0","I_0","R_0","sigma","loglik","loglik.se"
0.873930596109455,0.855754726249754,0.834138434894544,0.743019121340992,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.123557149014,0.349276109634747
0.795806925220709,0.738853966083593,0.91676764802117,0.658416572169663,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.159172707795,0.343891168629221
0.770716423340233,0.836256247410088,0.934249275155962,0.437255569548304,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.167540588156,0.370651716736465
1.10046748457634,0.983175574848509,0.794564139387822,0.735566772905823,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.192007761842,0.285581352595117
0.728068884846247,0.675486655857221,0.858924761695715,0.702493262449477,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.196416350857,0.578104939811469
0.790130032176238,0.812960909440465,0.899198840776049,0.675707242374961,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.260538979965,0.393647468040843
0.902132912663945,0.859329849847006,0.806766817931066,0.629897098135454,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.319435518835,0.344632741613466
0.751202200277906,0.846068969028037,0.844823051103509,0.562859127687345,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.359090540038,1.00841237522039
0.715015189071926,0.752932452822527,0.905368525734545,0.524757604946385,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.39684678496,0.334407276937242
0.757137232900676,0.756679467147586,0.93268707740768,0.515009663702536,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.455179136961,0.146233238840075
0.653245692339795,0.649774021554025,0.928448662654683,0.663796066173216,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.465835805203,0.213488262765371
0.602948929123249,0.667910304778637,0.994713511382434,0.645313294245529,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.509696511236,0.325705202292538
